antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO BAG STRAWBERRY'}),0.08633714655730629,0.03529030865529894,0.022339736671703,0.25875,7.33204128440367,1.0,0.019292872121277883,1.301463327277843,0.945219924882822,0.22499999999999998,0.23163413133460115,0.4458887614678899
frozenset({'JUMBO BAG STRAWBERRY'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.03529030865529894,0.08633714655730629,0.022339736671703,0.6330275229357799,7.33204128440367,1.0,0.019292872121277883,2.489731275631341,0.8952043723076375,0.22499999999999998,0.5983502276781167,0.4458887614678899
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),0.08633714655730629,0.042628966112669975,0.021368443772933305,0.2475,5.805911392405063,1.0,0.017687980478077275,1.2722538656310034,0.905981621077298,0.19859578736208625,0.21399334911509413,0.3743829113924051
frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.042628966112669975,0.08633714655730629,0.021368443772933305,0.5012658227848101,5.805911392405063,1.0,0.017687980478077275,1.8319635893901727,0.8646195923842187,0.19859578736208625,0.4541376227172278,0.3743829113924051
frozenset({'JUMBO STORAGE BAG SUKI'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.041765594647096914,0.08633714655730629,0.02341895100366933,0.5607235142118863,6.494580103359172,1.0,0.019813028737569877,2.079926613425426,0.8829003141571036,0.22371134020618555,0.5192138061289083,0.41598675710594313
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO STORAGE BAG SUKI'}),0.08633714655730629,0.041765594647096914,0.02341895100366933,0.27125,6.494580103359173,1.0,0.019813028737569877,1.3149014138633317,0.925971165769067,0.22371134020618555,0.2394867102151143,0.41598675710594313
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.08633714655730629,0.06950140297863155,0.02293330455428448,0.265625,3.821865295031056,1.0,0.016932751739379963,1.2670619193482464,0.8081182862939648,0.17255379618351604,0.21077258756668987,0.29779697204968947
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.06950140297863155,0.08633714655730629,0.02293330455428448,0.3299689440993789,3.8218652950310554,1.0,0.016932751739379963,1.3636126943617493,0.7934968002510677,0.17255379618351604,0.2666539376358191,0.29779697204968947
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG CARS BLUE'}),0.05676667386142888,0.052126052233973666,0.022717461687891214,0.400190114068441,7.677353202811956,1.0,0.019758439081041426,1.5802906387477964,0.9220908048288645,0.2636192861615529,0.3672050093314556,0.4180039597257319
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.052126052233973666,0.05676667386142888,0.022717461687891214,0.4358178053830228,7.677353202811956,1.0,0.019758439081041426,1.6718594367887336,0.9175764128662504,0.2636192861615529,0.4018635909243809,0.4180039597257319
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.05676667386142888,0.050237427153032595,0.025037772501618823,0.44106463878326996,8.77960245535076,1.0,0.02218596085878533,1.699235079311241,0.9394278189852442,0.30546412113232385,0.41149990829677624,0.4697267339995834
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.050237427153032595,0.05676667386142888,0.025037772501618823,0.4983888292158969,8.77960245535076,1.0,0.02218596085878533,1.8804073375482007,0.9329696196728634,0.30546412113232385,0.4682003308368994,0.4697267339995834
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.05676667386142888,0.06950140297863155,0.027897690481329594,0.4914448669201521,7.071006423730014,1.0,0.023952327005529874,1.8296906991896815,0.9102492375923409,0.28359846407021394,0.4534595380285467,0.4464211912240512
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.06950140297863155,0.05676667386142888,0.027897690481329594,0.40139751552795033,7.071006423730014,1.0,0.023952327005529874,1.575725712148482,0.9227068356016076,0.28359846407021394,0.3653717824807766,0.4464211912240512
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.053313187999136626,0.05676667386142888,0.022555579538096265,0.4230769230769231,7.4529102076630585,1.0,0.019529167182436233,1.6349377653068569,0.9145835924221698,0.25770653514180025,0.38835592325294843,0.41020766305937406
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.05676667386142888,0.053313187999136626,0.022555579538096265,0.39733840304182505,7.452910207663059,1.0,0.019529167182436233,1.5708431013011168,0.9179321822342418,0.25770653514180025,0.3633991840612803,0.41020766305937406
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.05676667386142888,0.048510684221886466,0.022069933088711417,0.38878326996197715,8.014384381463138,1.0,0.019316142898692823,1.5567134684270223,0.9278980378553484,0.26523994811932555,0.3576210264240549,0.4218666071723123
frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.048510684221886466,0.05676667386142888,0.022069933088711417,0.45494994438264735,8.014384381463136,1.0,0.019316142898692823,1.7305444085685213,0.9198467476726303,0.26523994811932555,0.4221471607150584,0.4218666071723123
frozenset({'LUNCH BAG APPLE DESIGN'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.04672998057414202,0.06950140297863155,0.02099071875674509,0.4491916859122402,6.4630592572404,1.0,0.01774291954567802,1.6893328826425684,0.886710474887203,0.22039660056657226,0.4080503550989118,0.3756051597263064
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG APPLE DESIGN'}),0.06950140297863155,0.04672998057414202,0.02099071875674509,0.30201863354037267,6.4630592572404,1.0,0.01774291954567802,1.3657528198225863,0.9084103020968062,0.22039660056657226,0.267803085971368,0.3756051597263064
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.052126052233973666,0.050237427153032595,0.023041225987481113,0.44202898550724634,8.7987982378306,1.0,0.02042254723560169,1.7021718838036557,0.9350907024187936,0.29047619047619044,0.4125152638725237,0.4503378010242999
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG CARS BLUE'}),0.050237427153032595,0.052126052233973666,0.023041225987481113,0.45864661654135336,8.798798237830601,1.0,0.02042254723560169,1.7509338201789097,0.9332312526952177,0.29047619047619044,0.42887618682365714,0.4503378010242999
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.052126052233973666,0.06950140297863155,0.024714008202028924,0.47412008281573503,6.821733986600312,1.0,0.021091174440030322,1.7694126864618935,0.9003409225941141,0.25501113585746105,0.434840719945558,0.4148550724637682
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG CARS BLUE'}),0.06950140297863155,0.052126052233973666,0.024714008202028924,0.3555900621118013,6.821733986600312,1.0,0.021091174440030322,1.470917644244147,0.9171531342083165,0.25501113585746105,0.32015228458703754,0.4148550724637682
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG CARS BLUE'}),0.053313187999136626,0.052126052233973666,0.021098640189941724,0.39574898785425106,7.592153460574514,1.0,0.01831963416753907,1.5686758130533234,0.9171830154770527,0.2501599488163788,0.362519654042752,0.40025544630807797
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.052126052233973666,0.053313187999136626,0.021098640189941724,0.4047619047619048,7.592153460574515,1.0,0.01831963416753907,1.5904338441614507,0.9160343176323246,0.2501599488163788,0.37124074435975946,0.40025544630807797
frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG CARS BLUE'}),0.048510684221886466,0.052126052233973666,0.021044679473343406,0.4338153503893215,8.32242864742744,1.0,0.01851600901368755,1.6741427879010957,0.924700626884033,0.26440677966101694,0.40267938480103077,0.4187710292319279
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.052126052233973666,0.048510684221886466,0.021044679473343406,0.4037267080745342,8.32242864742744,1.0,0.01851600901368755,1.5957268733362113,0.9282276075285297,0.26440677966101694,0.37332634004634874,0.4187710292319279
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.06950140297863155,0.050237427153032595,0.028221454780919492,0.40605590062111807,8.082736788733147,1.0,0.024729883111746925,1.5990773775514957,0.9417311666141087,0.308372641509434,0.37463939266578944,0.4839087236725354
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.050237427153032595,0.06950140297863155,0.028221454780919492,0.5617615467239527,8.082736788733147,1.0,0.024729883111746925,2.1232700829090536,0.9226300913069535,0.308372641509434,0.5290283567552941,0.4839087236725354
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.053313187999136626,0.06950140297863155,0.025199654651413772,0.472672064777328,6.800899615258884,1.0,0.021494313288210234,1.7645539613380268,0.9009955757613041,0.25815367606412387,0.43328454560736734,0.4176248522644404
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.06950140297863155,0.053313187999136626,0.025199654651413772,0.3625776397515528,6.800899615258884,1.0,0.021494313288210234,1.4851797976335104,0.9166705161886058,0.25815367606412387,0.326680849286125,0.4176248522644404
frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.048510684221886466,0.06950140297863155,0.02428232246924239,0.5005561735261401,7.202101714119898,1.0,0.020910761856367914,1.8630695739915593,0.9050565543141962,0.25906735751295334,0.4632513922399924,0.42496752775685886
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.06950140297863155,0.048510684221886466,0.02428232246924239,0.3493788819875776,7.202101714119898,1.0,0.020910761856367914,1.4624322657782938,0.9254733369416738,0.25906735751295334,0.31620764708182314,0.42496752775685886
frozenset({'LUNCH BAG WOODLAND'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.04424778761061947,0.06950140297863155,0.02336499028707101,0.5280487804878049,7.597670807453417,1.0,0.02028970696943245,1.9715990944638815,0.9085835257890685,0.25850746268656716,0.4927974947807934,0.43211445235570367
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG WOODLAND'}),0.06950140297863155,0.04424778761061947,0.02336499028707101,0.3361801242236025,7.597670807453416,1.0,0.02028970696943245,1.43977643223102,0.933242368868939,0.25850746268656716,0.30544772256728775,0.43211445235570367
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.053313187999136626,0.048510684221886466,0.02039715087416361,0.3825910931174089,7.886738751559313,1.0,0.017810891646275424,1.5411007278504527,0.9223798908021434,0.2504970178926441,0.35111314794146326,0.4015291394396833
frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.048510684221886466,0.053313187999136626,0.02039715087416361,0.42046718576195774,7.886738751559313,1.0,0.017810891646275424,1.6335344414371904,0.917724312608904,0.2504970178926441,0.38783047688899913,0.4015291394396833
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG WOODLAND'}),0.053313187999136626,0.04424778761061947,0.021854090222318153,0.409919028340081,9.26417004048583,1.0,0.01949509960288733,1.619696716707904,0.9422939431299365,0.2886671418389166,0.3826004648373069,0.45191073368223567
frozenset({'LUNCH BAG WOODLAND'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.04424778761061947,0.053313187999136626,0.021854090222318153,0.4939024390243903,9.264170040485832,1.0,0.01949509960288733,1.8705618935920674,0.9333561957018747,0.2886671418389166,0.4654012767897857,0.45191073368223567
"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS ""})",frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'}),0.0528815022663501,0.03761061946902655,0.024336283185840708,0.46020408163265303,12.236014405762303,1.0,0.02234737712715055,1.7828763571273232,0.9695450401922598,0.36786296900489385,0.43910860896082565,0.5536314525810324
frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'}),"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS ""})",0.03761061946902655,0.0528815022663501,0.024336283185840708,0.6470588235294117,12.236014405762303,1.0,0.02234737712715055,2.6835024102453406,0.9541606137064504,0.36786296900489385,0.6273526730655798,0.5536314525810324
frozenset({'SPOTTY BUNTING'}),frozenset({'PARTY BUNTING'}),0.05412259874811137,0.07441182818907835,0.02099071875674509,0.38783649052841473,5.212027441967065,1.0,0.016963357237554197,1.511995010303509,0.8543771973318984,0.19518314099347717,0.3386221560352464,0.33496248021707176
frozenset({'PARTY BUNTING'}),frozenset({'SPOTTY BUNTING'}),0.07441182818907835,0.05412259874811137,0.02099071875674509,0.2820884699057288,5.212027441967065,1.0,0.016963357237554197,1.3175403397235903,0.8731054563068178,0.19518314099347717,0.2410099563177001,0.33496248021707176
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.04225124109648176,0.03000215842866393,0.02352687243686596,0.5568326947637292,18.55975449525437,1.0,0.022259244007681638,2.1887847549001616,0.9878582124538866,0.4828349944629014,0.5431254728171689,0.6705026783171164
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.03000215842866393,0.04225124109648176,0.02352687243686596,0.7841726618705036,18.55975449525437,1.0,0.022259244007681638,4.437569249586302,0.9753835899445947,0.4828349944629014,0.774651404010602,0.6705026783171164
frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.036639326570256855,0.10635657241528168,0.024552126052233975,0.6701030927835051,6.300532986029384,1.0,0.020655292862617296,2.708856639866177,0.8732796470319575,0.20728929384965827,0.6308405600787342,0.4504751892126556
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),0.10635657241528168,0.036639326570256855,0.024552126052233975,0.23084728564180618,6.300532986029384,1.0,0.020655292862617296,1.252495967895794,0.941408220425188,0.20728929384965827,0.20159423612356195,0.4504751892126556
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.04225124109648176,0.09189510036693287,0.0226635009712929,0.5363984674329502,5.837073633862262,1.0,0.01878081893010423,1.9588047835060374,0.8652386854792624,0.20329138431752178,0.4894846038663873,0.3915110364175908
frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.09189510036693287,0.04225124109648176,0.0226635009712929,0.24662360540223138,5.837073633862263,1.0,0.01878081893010423,1.271275242722285,0.9125391543509079,0.20329138431752178,0.213388284146383,0.3915110364175908
frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),frozenset({'WOODEN FRAME ANTIQUE WHITE '}),0.04726958774012519,0.04376214116123462,0.025253615368012086,0.5342465753424657,12.207962434336096,1.0,0.02318499699669536,2.053098932212643,0.9636369709432692,0.38392124692370794,0.5129314109952359,0.555655963380234
frozenset({'WOODEN FRAME ANTIQUE WHITE '}),frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),0.04376214116123462,0.04726958774012519,0.025253615368012086,0.5770653514180024,12.207962434336096,1.0,0.02318499699669536,2.2526657852558554,0.9601023846833903,0.38392124692370794,0.556081507276757,0.555655963380234
"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'PINK REGENCY TEACUP AND SAUCER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.02352687243686596,0.03728685516943665,0.021044679473343406,0.8944954128440368,23.989564386144266,1.0,0.020167436388200174,9.124846329263606,0.9814045886327052,0.5291723202170963,0.8904091133246841,0.7294474169864178
"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'GREEN REGENCY TEACUP AND SAUCER'})",frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.029192747679689185,0.03000215842866393,0.021044679473343406,0.7208872458410351,24.027846114974935,1.0,0.02016883403248936,3.47529028006684,0.9872007228685566,0.5516265912305517,0.7122542523323355,0.7111630473809493
"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.024821929635225556,0.04225124109648176,0.021044679473343406,0.8478260869565217,20.06630018324171,1.0,0.019995922139845586,6.293777558508834,0.9743504614022542,0.4572098475967174,0.8411129102190693,0.6729551890721306
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})",0.04225124109648176,0.024821929635225556,0.021044679473343406,0.49808429118773945,20.06630018324171,1.0,0.019995922139845586,1.942912033322184,0.9920818941045432,0.4572098475967174,0.4853086589359887,0.6729551890721306
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'GREEN REGENCY TEACUP AND SAUCER'})",0.03000215842866393,0.029192747679689185,0.021044679473343406,0.7014388489208634,24.02784611497494,1.0,0.02016883403248936,3.251619471627066,0.9880244884917782,0.5516265912305517,0.6924609387027647,0.7111630473809493
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'PINK REGENCY TEACUP AND SAUCER'})",0.03728685516943665,0.02352687243686596,0.021044679473343406,0.5643994211287988,23.989564386144266,1.0,0.020167436388200174,2.2416708675951016,0.9954317266911852,0.5291723202170963,0.5539041817174458,0.7294474169864178
